id,info,class,n_jobs,solver,penalty,dual,tol,C,fit_intercept,intercept_scale,iteration,mutli-class,result
65,2,2,10, 'saga', 'l1', False,0.0001,10, False,1,100, 'ovr',TRUE
66,2,2,1, 'saga', 'l2', False,0.0001,10, False,1,100, 'ovr',TRUE
67,2,2,6, 'saga', 'l2', False,0,10, True,1,100, 'multinomial',TRUE
68,2,2,1, 'saga', 'l2', True,0,10, False,0,100, 'ovr',FALSE
69,2,2,1, 'saga', 'l2', False,0,10, False,1,100, 'multinomial',TRUE
70,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr',TRUE
71,2,2,1, 'liblinear', 'l1', False,0.0001,2, False,0,100, 'ovr',TRUE
72,2,2,1, 'saga', 'l1', False,0.0001,1, False,0,100, 'ovr',TRUE
73,2,2,2, 'newton-cg', 'l2', False,0.0001,6, False,1,100, 'multinomial',TRUE
74,2,2,1, 'saga', 'l2', False,0.0001,0.01, True,2,100, 'ovr',TRUE
75,2,2,1, 'newton-cg', 'l2', False,0,10, False,10,52, 'multinomial',TRUE
76,2,2,10, 'saga', 'l1', False,0,10, True,1,100, 'multinomial',TRUE
77,2,2,6, 'saga', 'l2', True,1,10, False,10,100, 'ovr',FALSE
78,2,2,1, 'newton-cg', 'l2', False,0,10, False,1,100, 'multinomial',TRUE
79,2,2,1, 'saga', 'l2', False,0,0.01, True,1,100, 'ovr',TRUE
80,2,2,1, 'saga', 'l2', False,0,1, False,1,100, 'ovr',TRUE
81,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'ovr',FALSE
82,2,2,6, 'saga', 'l2', False,0,0.01, True,1,100, 'multinomial',TRUE
83,2,2,1, 'saga', 'l2', False,0,10, True,1,100, 'ovr',TRUE
84,2,2,6, 'saga', 'l1', False,0,1, False,1,100, 'ovr',TRUE
85,2,2,10, 'saga', 'l2', False,0.0001,3, True,0,100, 'ovr',TRUE
86,2,2,10, 'liblinear', 'l2', False,0.0001,10, False,1,8, 'ovr',TRUE
87,2,2,1, 'liblinear', 'l1', False,0.0001,1, False,0,100, 'ovr',TRUE
88,2,2,1, 'saga', 'l2', False,0.0001,10, False,1,100, 'multinomial',TRUE
89,2,2,6, 'saga', 'l2', False,0,10, True,1,100, 'multinomial',TRUE
90,2,2,10, 'lbfgs', 'l2', False,0.0001,10, False,1,8, 'ovr',TRUE
91,2,2,1, 'saga', 'l2', False,0,0.01, True,1,100, 'ovr',TRUE
92,2,2,1, 'saga', 'l1', False,0.0001,2, True,0,100, 'ovr',TRUE
93,2,2,10, 'newton-cg', 'elasticnet', False,0,10, False,0,100, 'ovr',FALSE
94,2,2,1, 'saga', 'l2', False,0,10, True,1,100, 'multinomial',TRUE
95,2,2,1, 'saga', 'l2', False,0,10, False,1,100, 'multinomial',TRUE
96,2,2,6, 'liblinear', 'l2', True,0.0001,2, False,6,100, 'ovr',TRUE
97,2,2,6, 'saga', 'l1', False,0,10, True,1,100, 'multinomial',TRUE
98,2,2,1, 'saga', 'l2', False,0,10, False,1,100, 'multinomial',TRUE
99,2,2,1, 'saga', 'l2', False,0.0001,0.01, True,2,100, 'ovr',TRUE
100,2,2,6, 'saga', 'l1', True,0,1, False,1,100, 'ovr',FALSE
101,2,2,1, 'newton-cg', 'l2', False,0,10, False,1,100, 'multinomial',TRUE
102,2,2,1, 'saga', 'l2', False,0,0.01, True,1,100, 'ovr',TRUE
103,2,2,6, 'liblinear', 'l2', True,0.0001,2, False,6,100, 'ovr',TRUE
104,2,2,1, 'saga', 'l1', False,0.0001,2, True,0,100, 'ovr',TRUE
105,2,2,1, 'saga', 'l2', False,0,1, False,0,100, 'ovr',TRUE
106,2,2,1, 'saga', 'l2', False,0,0.01, False,1,100, 'ovr',TRUE
107,2,2,1, 'saga', 'l1', False,0,0.01, True,1,100, 'multinomial',TRUE
108,2,2,1, 'saga', 'l2', False,0.0001,6, False,1,100, 'multinomial',TRUE
109,2,2,1, 'saga', 'l1', False,0,10, False,1,100, 'ovr',TRUE
110,2,2,1, 'sag', 'l2', False,0.0001,10, False,0,100, 'ovr',TRUE
111,2,2,6, 'saga', 'l1', False,0,10, True,1,100, 'multinomial',TRUE
112,2,2,1, 'saga', 'l2', False,0,10, False,1,100, 'multinomial',TRUE
113,2,2,1, 'saga', 'l2', False,0,10, True,1,100, 'multinomial',TRUE
114,2,2,6, 'saga', 'l1', True,0,1, False,1,100, 'ovr',FALSE
115,2,2,6, 'saga', 'l2', False,0,10, False,1,100, 'multinomial',TRUE
116,2,2,1, 'saga', 'l2', False,0,10, False,1,100, 'multinomial',TRUE
117,2,2,1, 'saga', 'l2', False,0,10, False,1,100, 'multinomial',TRUE
118,2,2,1, 'newton-cg', 'l2', False,0,10, False,10,52, 'multinomial',TRUE
119,2,2,1, 'newton-cg', 'l2', False,0,10, False,1,100, 'multinomial',TRUE
120,2,2,1, 'saga', 'l2', False,0.0001,10, False,1,100, 'ovr',TRUE
121,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'ovr',FALSE
122,2,2,1, 'saga', 'l2', False,0,0.01, True,1,100, 'multinomial',TRUE
123,2,2,1, 'saga', 'l2', False,0.0001,10, False,1,100, 'multinomial',TRUE
124,2,2,6, 'lbfgs', 'l2', False,0.0001,0.01, True,1,21, 'ovr',TRUE
125,2,2,1, 'liblinear', 'l2', True,0.0001,6, False,1,100, 'multinomial',FALSE
126,2,2,10, 'saga', 'l1', False,0,10, True,1,100, 'multinomial',TRUE
127,2,2,10, 'saga', 'l1', False,0.0001,10, False,1,100, 'multinomial',TRUE
128,2,2,1, 'sag', 'l2', False,0.0001,10, False,0,100, 'ovr',TRUE
129,2,2,6, 'saga', 'l2', True,1,10, False,10,100, 'ovr',FALSE
130,2,2,1, 'newton-cg', 'l2', False,0.0001,10, True,6,100, 'ovr',TRUE
131,2,2,1, 'saga', 'l2', False,0,10, True,1,100, 'multinomial',TRUE
132,2,2,1, 'sag', 'l2', False,0.0001,10, False,0,100, 'ovr',TRUE
133,2,10,10, 'liblinear', 'l2', False,0.0001,10, True,1,100, 'ovr',FALSE
134,2,2,10, 'saga', 'l1', False,0.0001,10, False,1,100, 'multinomial',TRUE
135,2,2,2, 'newton-cg', 'l2', False,0.0001,6, False,1,100, 'multinomial',TRUE
136,2,2,6, 'saga', 'l2', True,1,10, False,10,100, 'ovr',FALSE
137,2,2,1, 'newton-cg', 'l2', False,0.0001,10, True,1,100, 'ovr',TRUE
138,2,2,7, 'lbfgs', 'l2', False,1,10, False,0,100, 'ovr',TRUE
139,2,2,10, 'saga', 'l1', False,0,10, True,1,100, 'multinomial',TRUE
140,2,2,1, 'newton-cg', 'l2', False,0.0001,6, False,1,100, 'multinomial',TRUE
141,2,2,1, 'saga', 'l1', False,0,10, True,1,100, 'multinomial',TRUE
142,2,2,1, 'saga', 'l2', False,0.0001,10, False,0,100, 'ovr',TRUE
143,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'ovr',FALSE
144,2,2,1, 'saga', 'l1', False,0.0001,10, False,1,100, 'ovr',TRUE
145,2,2,10, 'saga', 'l1', False,0.0001,10, False,1,100, 'ovr',TRUE
146,2,2,10, 'saga', 'l1', False,0.0001,10, False,1,100, 'multinomial',TRUE
147,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'ovr',FALSE
148,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'ovr',FALSE
149,2,2,1, 'saga', 'l1', False,0.0001,2, True,0,100, 'ovr',TRUE
150,2,2,2, 'liblinear', 'l2', False,0,10, False,0,100, 'ovr',FALSE
151,2,2,1, 'saga', 'l1', False,0.0001,10, False,1,100, 'ovr',TRUE
152,2,2,1, 'newton-cg', 'l2', False,0,10, False,10,52, 'multinomial',TRUE
153,2,2,1, 'liblinear', 'l2', False,0.0001,2, False,0,100, 'ovr',TRUE
154,2,2,1, 'saga', 'l1', False,0,10, True,1,100, 'multinomial',TRUE
155,2,2,1, 'saga', 'l2', False,0,10, False,1,100, 'multinomial',TRUE
156,2,2,1, 'lbfgs', 'l2', False,0,10, False,10,6, 'multinomial',TRUE
157,2,2,1, 'liblinear', 'l1', False,0.0001,1, False,0,100, 'ovr',TRUE
158,2,2,1, 'liblinear', 'l1', False,0.0001,0.01, True,2,100, 'ovr',TRUE
159,2,2,7, 'lbfgs', 'l2', False,1,10, False,0,100, 'ovr',TRUE
160,2,2,1, 'saga', 'l1', False,0.0001,10, False,1,100, 'ovr',TRUE
161,2,2,1, 'saga', 'l2', False,0,10, False,1,100, 'multinomial',TRUE
162,2,2,1, 'liblinear', 'l2', True,0,10, False,0,100, 'ovr',FALSE
163,2,2,1, 'liblinear', 'l1', False,0.0001,1, False,0,100, 'ovr',TRUE
164,2,2,1, 'newton-cg', 'l2', False,0,10, False,10,52, 'multinomial',TRUE
165,2,2,1, 'saga', 'l2', False,0,10, True,1,100, 'multinomial',TRUE
166,2,2,2, 'newton-cg', 'l2', False,0.0001,6, False,1,100, 'multinomial',TRUE
167,2,2,1, 'saga', 'l1', False,0.0001,10, False,1,100, 'ovr',TRUE
168,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto',FALSE
169,2,2,1, 'saga', 'l1', False,0,10, True,1,100, 'multinomial',TRUE
170,2,2,1, 'saga', 'l2', False,0,10, False,1,100, 'multinomial',TRUE
171,2,2,1, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr',TRUE
172,2,2,1, 'saga', 'l2', False,0,10, False,1,100, 'multinomial',TRUE
173,2,2,10, 'saga', 'l2', False,0.0001,3, True,0,100, 'ovr',TRUE
174,2,2,1, 'saga', 'l1', False,0.0001,10, False,0,100, 'ovr',TRUE
175,2,2,1, 'saga', 'l2', False,0.0001,10, False,0,100, 'ovr',TRUE
176,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'ovr',FALSE
177,2,2,10, 'saga', 'l1', False,0,10, True,1,100, 'multinomial',TRUE
178,2,2,6, 'saga', 'l2', False,0,10, False,1,100, 'multinomial',TRUE
179,2,2,2, 'newton-cg', 'l2', False,0.0001,10, False,1,100, 'multinomial',TRUE
180,2,2,1, 'saga', 'l2', False,0,0.01, True,1,100, 'ovr',TRUE
181,2,2,1, 'saga', 'l1', False,0.0001,10, False,1,100, 'ovr',TRUE
182,2,2,1, 'saga', 'l1', False,0.0001,10, True,1,100, 'multinomial',TRUE
183,2,2,1, 'newton-cg', 'l2', False,0,10, False,6,100, 'ovr',TRUE
184,2,2,6, 'saga', 'l2', False,0,10, False,1,100, 'multinomial',TRUE
185,2,2,1, 'saga', 'l1', False,0,0.01, False,1,100, 'ovr',TRUE
